SOMERSET ROAD,2
WESTMINSTER ROAD,2
NASSAU AVENUE,2
AUTY LANE,2
SHANLY ST,2
HUGHES CRESCENT,2
CASEL ST,2
COBHAM COURT S,2
PLUNKET ST,2
KINGSLEY ST,2
APU CRESCENT,2
SOLWAY CRESCENT,2
MALLARD GROVE,2
KARO DRIVE,2
BRANSCOMBE ST,2
EUSTON ROAD,2
MOHUIA CRESCENT,2
KELBURN VIADUCT,2
CHELSEA ST,2
ERRIS ST,2
LEICESTER ST,2
NATHAN AVENUE,2
JOHNSONVILLE ON NBD,2
HAIG ST,2
WHANGAEHU VALLEY ROAD,2
EBDENTOWN ST,2
PITT ST,2
MARY ST,2
KAITUNA ST,2
BULLS RUN ROAD,2
THE RIDGEWAY,2
MILLARD AVENUE,2
MAHER PLACE,2
ABILENE CRESCENT,2
ARTHUR CARMAN ST,2
WALTER ST,2
MELBOURNE ROAD,2
RIDDLERS CRESCENT,2
GOTHIC ST,2
WOODSIDE ROAD,2
CORADINE ST,2
REALM DRIVE,2
MASTERS CRESCENT,2
CHESHIRE ST,2
CORNWALL CRESCENT,2
TIROWHANGA ROAD,2
VICTORY AVENUE,2
MONTREAL GROVE,2
ALBATROSS CLOSE,2
KING EDWARD ST,2
IZARD ROAD,2
KATHERINE MANSFIELD DRIVE,2
SEATOUN TUNNEL,2
PETONE ONRAMP SOUTHBOUND,2
MORRISON ROAD,2
DOWSE OFF SBD,2
HUIA ST,2
ROBERTS ST,2
TE MANUAO ROAD,2
LUDLAM ST,2
BRADLEY LANE,2
MOUNT MARUA DRIVE,2
GROVE ROAD,2
KERKWALL DRIVE,2
ELLIOTT ST,2
STRATTON ST,2
DOMINION PARK ST,2
MATARAWA ROAD,2
FITZHERBERT TERRACE,2
REDWOOD AVENUE,2
GURNEY ROAD,2
